;0;1;2;3;4;5;6;7;8;9
1;0.831439;0.645432;0.423044;0.252329;0.183344;0.148635;0.101891;-0.143268;-0.107569;-0.040611
2;0.845740;0.682907;0.464163;0.264831;0.173178;0.110660;0.092083;-0.115914;-0.112301;-0.076018
3;0.844960;0.678979;0.460060;0.256710;0.162313;0.088252;0.050049;-0.075769;-0.101986;-0.071651
4;0.844772;0.682318;0.462515;0.257882;0.158580;0.084200;0.026582;-0.103097;-0.123613;-0.077608
5;0.843689;0.684966;0.470420;0.257047;0.146483;0.062323;-0.021327;-0.113033;-0.108250;-0.041742
6;0.840261;0.677607;0.453616;0.252998;0.136841;0.042122;-0.034507;-0.103998;-0.061180;0.028691
7;0.835875;0.672894;0.442580;0.230294;0.120809;0.009444;-0.020335;-0.050181;0.011950;0.102695
8;0.826687;0.659549;0.431096;0.224253;0.087209;0.013777;0.013274;0.022496;0.102466;0.191981
9;0.828179;0.659243;0.423633;0.205103;0.097938;0.063085;0.088579;0.116147;0.185984;0.264532
10;0.822180;0.641977;0.402891;0.201932;0.130892;0.131443;0.179672;0.209963;0.249538;0.284333
11;0.820310;0.641348;0.413594;0.240996;0.195281;0.205210;0.249690;0.266415;0.289972;0.305491
12;0.815267;0.640562;0.415752;0.269254;0.234255;0.262232;0.312316;0.304951;0.313530;0.314937
13;0.816226;0.649617;0.454912;0.331262;0.298532;0.319727;0.339539;0.314071;0.301443;0.286670
14;0.815164;0.650428;0.462305;0.336840;0.303122;0.303668;0.317057;0.276254;0.267267;0.260841
15;0.818299;0.658597;0.481764;0.355791;0.312657;0.308546;0.296905;0.233741;0.205844;0.193058
16;0.810060;0.645530;0.475219;0.345044;0.301907;0.301311;0.264142;0.207718;0.178286;0.193702
17;0.825249;0.669402;0.486238;0.357703;0.288175;0.256538;0.228092;0.178583;0.172715;0.193307
18;0.818078;0.661157;0.472986;0.330402;0.261245;0.219957;0.178139;0.149895;0.154280;0.175346
19;0.825738;0.665631;0.477530;0.311680;0.234806;0.188170;0.172220;0.148581;0.185097;0.209709
20;0.811211;0.652567;0.449061;0.278754;0.192614;0.136697;0.132437;0.131482;0.150293;0.181039
21;0.811518;0.648658;0.449558;0.269888;0.191824;0.162029;0.146222;0.157647;0.190222;0.220539
22;0.809346;0.648332;0.447345;0.279142;0.213487;0.197565;0.197316;0.201504;0.218428;0.216481
23;0.807583;0.653007;0.452062;0.283151;0.195116;0.172923;0.176545;0.204037;0.223482;0.231035
24;0.797698;0.630142;0.426999;0.273336;0.210963;0.195974;0.203176;0.197539;0.203826;0.206171
